source_file,invoice_number,vendor,invoice_date,grand_total,line_item_count,line_items,avg_unit_price,max_unit_price,sum_line_totals,is_anomaly,anomaly_reason
invoice_000.png,INV-10000,Cypress Software Ltd,2026-07-12,88.68,5,"[{'description': 'A4 Paper Ream', 'quantity': 2, 'unit_price': 10.66, 'line_total': 21.32}, {'description': 'Ballpoint Pen Box', 'quantity': 6, 'unit_price': 7.05, 'line_total': 42.3}, {'description': 'USB Hub', 'quantity': 1, 'unit_price': 17.15, 'line_total': 17.15}, {'description': 'Whiteboard Marker', 'quantity': 2, 'unit_price': 1.99, 'line_total': 3.98}, {'description': 'Whiteboard Marker', 'quantity': 1, 'unit_price': 3.93, 'line_total': 3.93}]",8.156,17.15,88.68,False,
invoice_001.png,INV-10001,Acme Office Supplies,2026-07-03,24.43,2,"[{'description': 'Whiteboard Marker', 'quantity': 1, 'unit_price': 4.42, 'line_total': 4.42}, {'description': 'A4 Paper Ream', 'quantity': 3, 'unit_price': 6.67, 'line_total': 20.01}]",5.545,6.67,24.43,False,
invoice_002.png,INV-10002,Blue River Logistics,2026-05-23,12683.93,3,"[{'description': 'Desk Lamp', 'quantity': 3, 'unit_price': 26.43, 'line_total': 79.29}, {'description': 'USB Hub', 'quantity': 6, 'unit_price': 17.44, 'line_total': 104.64}, {'description': 'Emergency Server Rack', 'quantity': 1, 'unit_price': 12500.0, 'line_total': 12500.0}]",4181.29,12500.0,12683.93,True,amount is +3.0 standard deviations from this vendor's average; isolation forest flagged this invoice as an outlier (score -0.336)
invoice_003.png,INV-10003,Acme Office Supplies,2026-05-20,272.52,2,"[{'description': 'USB Hub', 'quantity': 8, 'unit_price': 32.01, 'line_total': 256.08}, {'description': 'Whiteboard Marker', 'quantity': 6, 'unit_price': 2.74, 'line_total': 16.44}]",17.375,32.01,272.52,False,
invoice_004.png,INV-10004,Delta Industrial Parts,2026-06-15,392.69,4,"[{'description': 'USB Hub', 'quantity': 3, 'unit_price': 32.47, 'line_total': 97.41}, {'description': 'USB Hub', 'quantity': 2, 'unit_price': 29.36, 'line_total': 58.72}, {'description': 'Coffee Beans 1kg', 'quantity': 6, 'unit_price': 30.4, 'line_total': 182.4}, {'description': 'Desk Lamp', 'quantity': 2, 'unit_price': 27.08, 'line_total': 54.16}]",29.8275,32.47,392.69,False,
invoice_005.png,INV-10005,Delta Industrial Parts,2026-07-10,2598.08,4,"[{'description': 'Toner Cartridge', 'quantity': 8, 'unit_price': 76.63, 'line_total': 613.04}, {'description': 'Ballpoint Pen Box', 'quantity': 6, 'unit_price': 5.44, 'line_total': 32.64}, {'description': 'Ergonomic Chair', 'quantity': 8, 'unit_price': 235.98, 'line_total': 1887.84}, {'description': 'Coffee Beans 1kg', 'quantity': 2, 'unit_price': 32.28, 'line_total': 64.56}]",87.5825,235.98,2598.08,True,possible duplicate of invoice_050.png (score 100.0)
invoice_006.png,INV-10006,Cypress Software Ltd,2026-06-01,197.65,2,"[{'description': 'A4 Paper Ream', 'quantity': 5, 'unit_price': 9.35, 'line_total': 46.75}, {'description': 'Coffee Beans 1kg', 'quantity': 5, 'unit_price': 30.18, 'line_total': 150.9}]",19.765,30.18,197.65,False,
invoice_007.png,INV-10007,Cypress Software Ltd,2026-08-16,980.77,5,"[{'description': 'Ergonomic Chair', 'quantity': 3, 'unit_price': 242.18, 'line_total': 726.54}, {'description': 'Coffee Beans 1kg', 'quantity': 1, 'unit_price': 21.71, 'line_total': 21.71}, {'description': 'Desk Lamp', 'quantity': 3, 'unit_price': 53.75, 'line_total': 161.25}, {'description': 'Whiteboard Marker', 'quantity': 7, 'unit_price': 4.23, 'line_total': 29.61}, {'description': 'Coffee Beans 1kg', 'quantity': 2, 'unit_price': 20.83, 'line_total': 41.66}]",68.53999999999999,242.18,980.77,True,invoice date 2026-08-16 is in the future
invoice_008.png,INV-10008,Delta Industrial Parts,2026-05-22,1413.54,4,"[{'description': 'Toner Cartridge', 'quantity': 7, 'unit_price': 109.8, 'line_total': 768.6}, {'description': 'Desk Lamp', 'quantity': 7, 'unit_price': 64.42, 'line_total': 450.94}, {'description': 'Whiteboard Marker', 'quantity': 4, 'unit_price': 1.7, 'line_total': 6.8}, {'description': 'Toner Cartridge', 'quantity': 3, 'unit_price': 62.4, 'line_total': 187.2}]",59.58,109.8,1413.54,False,
invoice_009.png,INV-10009,Blue River Logistics,2026-07-30,2058.27,5,"[{'description': 'Toner Cartridge', 'quantity': 5, 'unit_price': 66.14, 'line_total': 330.7}, {'description': 'Toner Cartridge', 'quantity': 7, 'unit_price': 85.09, 'line_total': 595.63}, {'description': 'Ergonomic Chair', 'quantity': 3, 'unit_price': 258.1, 'line_total': 774.3}, {'description': 'A4 Paper Ream', 'quantity': 8, 'unit_price': 11.25, 'line_total': 90.0}, {'description': 'Whiteboard Marker', 'quantity': 7, 'unit_price': 2.52, 'line_total': 17.64}]",84.62,258.1,1808.27,True,grand total 2058.27 does not match line total sum 1808.27
invoice_010.png,INV-10010,Acme Office Supplies,2026-05-31,567.46,5,"[{'description': 'A4 Paper Ream', 'quantity': 4, 'unit_price': 5.01, 'line_total': 20.04}, {'description': 'USB Hub', 'quantity': 8, 'unit_price': 19.06, 'line_total': 152.48}, {'description': 'Ergonomic Chair', 'quantity': 1, 'unit_price': 140.48, 'line_total': 140.48}, {'description': 'Toner Cartridge', 'quantity': 2, 'unit_price': 116.17, 'line_total': 232.34}, {'description': 'A4 Paper Ream', 'quantity': 2, 'unit_price': 11.06, 'line_total': 22.12}]",58.355999999999995,140.48,567.46,False,
invoice_011.png,INV-10011,Evergreen Catering Co,2025-06-27,536.68,3,"[{'description': 'Desk Lamp', 'quantity': 6, 'unit_price': 47.9, 'line_total': 287.4}, {'description': 'Coffee Beans 1kg', 'quantity': 2, 'unit_price': 19.96, 'line_total': 39.92}, {'description': 'Coffee Beans 1kg', 'quantity': 8, 'unit_price': 26.17, 'line_total': 209.36}]",31.343333333333334,47.9,536.68,True,invoice date is 400 days old (older than 90 day threshold); isolation forest flagged this invoice as an outlier (score -0.121)
invoice_012.png,INV-10012,Cypress Software Ltd,2026-07-21,240.9,3,"[{'description': 'Ballpoint Pen Box', 'quantity': 6, 'unit_price': 8.09, 'line_total': 48.54}, {'description': 'Coffee Beans 1kg', 'quantity': 3, 'unit_price': 26.78, 'line_total': 80.34}, {'description': 'USB Hub', 'quantity': 6, 'unit_price': 18.67, 'line_total': 112.02}]",17.846666666666668,26.78,240.9,False,
invoice_013.png,INV-10013,Evergreen Catering Co,2026-07-28,1762.94,4,"[{'description': 'Ballpoint Pen Box', 'quantity': 5, 'unit_price': 6.62, 'line_total': 33.1}, {'description': 'Toner Cartridge', 'quantity': 6, 'unit_price': 102.9, 'line_total': 617.4}, {'description': 'Ergonomic Chair', 'quantity': 4, 'unit_price': 242.65, 'line_total': 970.6}, {'description': 'USB Hub', 'quantity': 4, 'unit_price': 35.46, 'line_total': 141.84}]",96.9075,242.65,1762.94,False,
invoice_014.png,INV-10014,Blue River Logistics,2026-07-06,3678.58,5,"[{'description': 'Ergonomic Chair', 'quantity': 1, 'unit_price': 317.92, 'line_total': 317.92}, {'description': 'Desk Lamp', 'quantity': 8, 'unit_price': 33.14, 'line_total': 265.12}, {'description': 'Ergonomic Chair', 'quantity': 8, 'unit_price': 281.71, 'line_total': 2253.68}, {'description': 'Ergonomic Chair', 'quantity': 6, 'unit_price': 136.11, 'line_total': 816.66}, {'description': 'Ballpoint Pen Box', 'quantity': 4, 'unit_price': 6.3, 'line_total': 25.2}]",155.036,317.92,3678.58,True,isolation forest flagged this invoice as an outlier (score -0.118)
invoice_015.png,INV-10015,Cypress Software Ltd,2026-07-05,1029.72,5,"[{'description': 'A4 Paper Ream', 'quantity': 8, 'unit_price': 11.32, 'line_total': 90.56}, {'description': 'Ergonomic Chair', 'quantity': 2, 'unit_price': 286.93, 'line_total': 573.86}, {'description': 'Ballpoint Pen Box', 'quantity': 7, 'unit_price': 8.36, 'line_total': 58.52}, {'description': 'USB Hub', 'quantity': 8, 'unit_price': 37.23, 'line_total': 297.84}, {'description': 'Whiteboard Marker', 'quantity': 6, 'unit_price': 1.49, 'line_total': 8.94}]",69.066,286.93,1029.72,False,
invoice_016.png,INV-10016,Delta Industrial Parts,2026-06-02,324.47,5,"[{'description': 'Ballpoint Pen Box', 'quantity': 3, 'unit_price': 4.32, 'line_total': 12.96}, {'description': 'Toner Cartridge', 'quantity': 1, 'unit_price': 56.34, 'line_total': 56.34}, {'description': 'Coffee Beans 1kg', 'quantity': 3, 'unit_price': 28.4, 'line_total': 85.2}, {'description': 'Coffee Beans 1kg', 'quantity': 6, 'unit_price': 20.65, 'line_total': 123.9}, {'description': 'Toner Cartridge', 'quantity': 1, 'unit_price': 46.07, 'line_total': 46.07}]",31.156,56.34,324.47,False,
invoice_017.png,INV-10017,Acme Office Supplies,2026-05-25,256.38,3,"[{'description': 'Whiteboard Marker', 'quantity': 4, 'unit_price': 3.93, 'line_total': 15.72}, {'description': 'USB Hub', 'quantity': 1, 'unit_price': 21.3, 'line_total': 21.3}, {'description': 'Desk Lamp', 'quantity': 4, 'unit_price': 54.84, 'line_total': 219.36}]",26.69,54.84,256.38,False,
invoice_018.png,INV-10018,Cypress Software Ltd,2026-06-28,2241.98,5,"[{'description': 'Toner Cartridge', 'quantity': 1, 'unit_price': 113.25, 'line_total': 113.25}, {'description': 'Ergonomic Chair', 'quantity': 8, 'unit_price': 252.49, 'line_total': 2019.92}, {'description': 'Whiteboard Marker', 'quantity': 3, 'unit_price': 2.96, 'line_total': 8.88}, {'description': 'A4 Paper Ream', 'quantity': 8, 'unit_price': 10.32, 'line_total': 82.56}, {'description': 'A4 Paper Ream', 'quantity': 3, 'unit_price': 5.79, 'line_total': 17.37}]",76.962,252.49,2241.98,False,
invoice_019.png,INV-10019,Delta Industrial Parts,2026-05-13,123.74,2,"[{'description': 'A4 Paper Ream', 'quantity': 6, 'unit_price': 9.62, 'line_total': 57.72}, {'description': 'Coffee Beans 1kg', 'quantity': 2, 'unit_price': 33.01, 'line_total': 66.02}]",21.314999999999998,33.01,123.74,False,
invoice_020.png,INV-10020,Acme Office Supplies,2026-06-30,128.93,3,"[{'description': 'Desk Lamp', 'quantity': 1, 'unit_price': 55.21, 'line_total': 55.21}, {'description': 'Coffee Beans 1kg', 'quantity': 1, 'unit_price': 30.92, 'line_total': 30.92}, {'description': 'Ballpoint Pen Box', 'quantity': 8, 'unit_price': 5.35, 'line_total': 42.8}]",30.493333333333336,55.21,128.93,False,
invoice_021.png,INV-10021,Evergreen Catering Co,2026-05-15,702.84,3,"[{'description': 'Desk Lamp', 'quantity': 8, 'unit_price': 43.85, 'line_total': 350.8}, {'description': 'Coffee Beans 1kg', 'quantity': 4, 'unit_price': 29.89, 'line_total': 119.56}, {'description': 'Desk Lamp', 'quantity': 4, 'unit_price': 58.12, 'line_total': 232.48}]",43.95333333333334,58.12,702.84,False,
invoice_022.png,INV-10022,Blue River Logistics,2026-06-08,135.73,2,"[{'description': 'Whiteboard Marker', 'quantity': 8, 'unit_price': 2.24, 'line_total': 17.92}, {'description': 'USB Hub', 'quantity': 7, 'unit_price': 16.83, 'line_total': 117.81}]",9.535,16.83,135.73,False,
invoice_023.png,INV-10023,Cypress Software Ltd,2026-07-16,1066.9,3,"[{'description': 'Ergonomic Chair', 'quantity': 3, 'unit_price': 170.62, 'line_total': 511.86}, {'description': 'Toner Cartridge', 'quantity': 8, 'unit_price': 61.47, 'line_total': 491.76}, {'description': 'Ballpoint Pen Box', 'quantity': 7, 'unit_price': 9.04, 'line_total': 63.28}]",80.37666666666667,170.62,1066.9,False,
invoice_024.png,INV-10024,Blue River Logistics,2026-07-03,341.6,3,"[{'description': 'Whiteboard Marker', 'quantity': 7, 'unit_price': 2.32, 'line_total': 16.24}, {'description': 'USB Hub', 'quantity': 6, 'unit_price': 22.96, 'line_total': 137.76}, {'description': 'Ergonomic Chair', 'quantity': 1, 'unit_price': 187.6, 'line_total': 187.6}]",70.96,187.6,341.6,False,
invoice_025.png,INV-10025,Delta Industrial Parts,2026-06-05,71.16,2,"[{'description': 'Whiteboard Marker', 'quantity': 6, 'unit_price': 2.91, 'line_total': 17.46}, {'description': 'Desk Lamp', 'quantity': 2, 'unit_price': 26.85, 'line_total': 53.7}]",14.88,26.85,71.16,False,
invoice_026.png,INV-10026,Blue River Logistics,2026-07-18,626.9,2,"[{'description': 'Desk Lamp', 'quantity': 5, 'unit_price': 23.7, 'line_total': 118.5}, {'description': 'Toner Cartridge', 'quantity': 5, 'unit_price': 101.68, 'line_total': 508.4}]",62.690000000000005,101.68,626.9,False,
invoice_027.png,INV-10027,Delta Industrial Parts,2026-06-28,1728.77,5,"[{'description': 'Toner Cartridge', 'quantity': 8, 'unit_price': 97.53, 'line_total': 780.24}, {'description': 'Ballpoint Pen Box', 'quantity': 5, 'unit_price': 3.58, 'line_total': 17.9}, {'description': 'Toner Cartridge', 'quantity': 7, 'unit_price': 112.15, 'line_total': 785.05}, {'description': 'Desk Lamp', 'quantity': 1, 'unit_price': 49.28, 'line_total': 49.28}, {'description': 'Desk Lamp', 'quantity': 2, 'unit_price': 48.15, 'line_total': 96.3}]",62.138,112.15,1728.77,False,
